"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"AEROFLEX","EQ","01-Jan-2024","155.00","155.30","159.70","154.95","157.05","156.75","157.39","9,69,404","15,25,78,348.00","14,543","4,78,675","49.38"
"AEROFLEX","EQ","02-Jan-2024","156.75","157.35","158.45","154.90","155.80","156.20","156.68","7,17,026","11,23,44,033.65","10,260","4,07,470","56.83"
"AEROFLEX","EQ","03-Jan-2024","156.20","155.75","158.90","154.85","156.10","156.80","156.96","5,39,476","8,46,78,389.90","8,228","2,86,373","53.08"
"AEROFLEX","EQ","04-Jan-2024","156.80","156.35","158.20","156.25","157.25","156.95","157.17","4,76,064","7,48,23,567.30","7,418","3,04,559","63.97"
"AEROFLEX","EQ","05-Jan-2024","156.95","158.05","162.85","157.00","158.30","158.75","160.24","16,69,373","26,75,00,417.20","21,701","6,74,666","40.41"
"AEROFLEX","EQ","08-Jan-2024","158.75","159.25","159.65","156.85","157.60","157.60","157.65","5,28,689","8,33,49,240.00","7,633","2,84,842","53.88"
"AEROFLEX","EQ","09-Jan-2024","157.60","158.90","159.00","156.65","158.20","157.95","157.55","5,41,782","8,53,58,678.90","8,010","2,56,369","47.32"
"AEROFLEX","EQ","10-Jan-2024","157.95","157.95","158.50","156.30","157.90","157.80","157.21","6,10,196","9,59,30,440.70","8,661","3,42,908","56.20"
"AEROFLEX","EQ","11-Jan-2024","157.80","158.40","176.65","157.45","174.90","173.80","170.28","91,84,167","1,56,39,10,050.55","90,413","35,46,040","38.61"
"AEROFLEX","EQ","12-Jan-2024","173.80","176.00","179.90","169.30","169.45","170.20","174.73","28,22,818","49,32,19,087.30","40,974","11,73,823","41.58"
"AEROFLEX","EQ","15-Jan-2024","170.20","170.50","171.95","164.70","166.60","166.40","167.38","11,01,921","18,44,36,878.10","20,864","5,17,350","46.95"
"AEROFLEX","EQ","16-Jan-2024","166.40","166.70","170.80","161.00","162.80","162.50","165.39","10,36,297","17,13,96,368.70","20,706","3,98,685","38.47"
"AEROFLEX","EQ","17-Jan-2024","162.50","161.40","165.40","159.60","161.40","160.95","162.43","7,01,320","11,39,16,606.25","14,500","2,79,416","39.84"
"AEROFLEX","EQ","18-Jan-2024","160.95","161.00","163.05","156.05","159.30","159.35","159.69","7,62,065","12,16,97,957.10","17,253","2,66,735","35.00"
"AEROFLEX","EQ","19-Jan-2024","159.35","161.00","163.05","158.60","159.10","159.25","160.50","5,39,385","8,65,70,869.90","11,639","2,79,606","51.84"
"AEROFLEX","EQ","20-Jan-2024","159.25","161.80","167.80","161.00","165.20","164.50","164.26","8,81,539","14,48,03,414.25","17,088","4,28,038","48.56"
"AEROFLEX","EQ","23-Jan-2024","164.50","166.00","166.35","155.80","156.90","156.50","159.88","9,04,126","14,45,51,481.15","17,465","4,00,348","44.28"
"AEROFLEX","EQ","24-Jan-2024","156.50","157.70","162.55","155.50","161.60","161.70","159.27","9,67,396","15,40,77,011.45","15,704","4,22,906","43.72"
"AEROFLEX","EQ","25-Jan-2024","161.70","162.65","164.50","160.10","163.50","163.90","162.43","8,19,691","13,31,43,398.55","12,434","3,72,743","45.47"
"AEROFLEX","EQ","29-Jan-2024","163.90","165.00","165.00","153.55","154.40","154.30","157.14","21,81,785","34,28,39,591.40","28,789","12,50,173","57.30"
"AEROFLEX","EQ","30-Jan-2024","154.30","155.90","156.40","152.95","153.80","153.35","154.34","5,79,536","8,94,45,862.60","9,399","3,25,231","56.12"
"AEROFLEX","EQ","31-Jan-2024","153.35","155.00","155.60","153.65","154.00","153.90","154.41","5,62,671","8,68,80,889.50","7,830","3,18,886","56.67"
"AEROFLEX","EQ","01-Feb-2024","153.90","154.35","158.95","152.55","158.15","158.10","156.14","8,98,264","14,02,52,073.85","15,090","4,24,863","47.30"
"AEROFLEX","EQ","02-Feb-2024","158.10","159.70","159.70","153.85","154.00","154.40","156.22","6,53,437","10,20,81,272.75","11,223","3,47,422","53.17"
